resistance_ohm,frequency_Hz,I_P_PP,I_P_AMP,I_P_AVG,I_OUT_AMP,I_OUT_AVG,I_IN_AMP,I_IN_AVG,V_SW_FREQ,V_SW_AMP,V_OUT_AVG,V_OUT_PP,V_SEC_AMP
5.0,296000.0,2.8,2.5,-0.75,0.01,0.35879,0.031,0.0971,296000.0,24.0,1.66889,0.1,6.0
5.0,297000.0,2.8,2.5,-0.72,0.01,0.3586,0.031,0.095,298000.0,24.0,1.65403,0.09,6.0
5.0,298000.0,2.5,2.5,-0.74,0.01,0.35778,0.031,0.0956,298000.0,24.0,1.63757,0.1,6.0
5.0,299000.0,2.8,2.5,-0.76,0.01,0.35549,0.031,0.0939,299000.0,24.0,1.63012,0.09,5.6
5.0,300000.0,2.8,2.5,-0.77,0.01,0.35172,0.031,0.0941,299000.0,24.0,1.62489,0.09,5.6
5.0,301000.0,2.8,2.5,-0.74,0.01,0.35319,9.9e+37,0.0929,301000.0,24.0,1.61427,0.09,5.6
5.0,302000.0,2.8,2.5,-0.74,0.01,0.35056,0.031,0.0952,301000.0,24.0,1.60853,0.1,5.6
5.0,303000.0,2.8,2.5,-0.73,0.01,0.34857,0.031,0.0952,303000.0,24.0,1.60576,0.09,5.6
5.0,304000.0,2.5,2.5,-0.74,0.01,0.34587,0.031,0.093,305000.0,24.0,1.60248,0.09,5.6
5.0,305000.0,2.5,2.5,-0.7,0.01,0.34536,0.031,0.0939,305000.0,23.0,1.58838,0.1,5.6
5.0,306000.0,2.5,2.5,-0.71,0.015,0.34576,0.031,0.0935,305000.0,24.0,1.58743,0.1,5.6
5.0,307000.0,2.8,2.5,-0.77,0.01,0.34221,0.031,0.0916,307000.0,24.0,1.56962,0.1,5.6
5.0,308000.0,2.8,2.5,-0.76,0.01,0.33989,0.031,0.0939,309000.0,24.0,1.55979,0.1,5.6
5.0,309000.0,2.8,2.5,-0.74,0.01,0.33966,0.031,0.0928,309000.0,24.0,1.56038,0.1,5.6
5.0,310000.0,2.8,2.5,-0.74,0.01,0.33883,0.031,0.0936,311000.0,24.0,1.54818,0.1,5.6
5.0,311000.0,2.8,2.5,-0.73,0.015,0.33755,0.031,0.092,311000.0,24.0,1.55185,0.1,5.6
5.0,312000.0,2.8,2.5,-0.77,0.01,0.33717,0.031,0.0922,313000.0,24.0,1.54102,0.09,6.0
